mean,stdev,bias,skew,,mean,bias equation,skew equation
50,22,0.004540379,0.243030953,,,,
50,24,0.001454038,0.213798869,,,,
50,26,0.010145404,0.189970117,,,,
50,28,0.00301454,0.165205697,,,,
50,30,0.019301454,0.148528651,,,,
50,32,-0.011069855,0.127919154,,,,
50,34,-0.008106985,0.109299464,,,,
50,36,-0.018810699,0.095226336,,,,
50,38,0.00311893,0.083705426,,,,
50,40,-0.029688107,0.069104712,,,,
55,2,0.190031189,2.875878133,,,,
55,4,0.216003119,1.724243942,,,,
55,6,0.220600312,1.12549875,,,,
55,8,0.225060031,0.814178636,,,,
55,10,0.214506003,0.643013409,,,,
55,12,0.2254506,0.525592847,,,,
55,14,0.21954506,0.440804557,,,,
55,16,0.220954506,0.373053978,,,,
55,18,0.236095451,0.318644729,,,,
55,20,0.240609545,0.278284572,,,,
55,22,0.229060955,0.246132286,,,,
55,24,0.266906095,0.212789783,,,,
55,26,0.27169061,0.189071624,,,,
55,28,0.258169061,0.169473262,,,,
55,30,0.276816906,0.147469471,,,,
55,32,0.317681691,0.124836796,,,,
55,34,0.337768169,0.10790798,,,,
55,36,0.355776817,0.095697745,,,,
55,38,0.385577682,0.082237004,,,,
55,40,0.391557768,0.071542303,,,,
60,2,0.433155777,2.791785335,,,,
60,4,0.445315578,1.652883166,,,,
60,6,0.445531558,1.107240904,,,,
60,8,0.448553156,0.790331263,,,,
60,10,0.461855316,0.624485817,,,,
60,12,0.454185532,0.511919285,,,,
60,14,0.458418553,0.417892372,,,,
60,16,0.460841855,0.361384946,,,,
60,18,0.503084186,0.306633144,,,,
60,20,0.484308419,0.268161377,,,,
60,22,0.509430842,0.230693532,,,,
60,24,0.568943084,0.203023118,,,,
60,26,0.569894308,0.177674271,,,,
60,28,0.538989431,0.160454278,,,,
60,30,0.528898943,0.14080157,,,,
60,32,0.645889894,0.122953255,,,,
60,34,0.681588989,0.106646226,,,,
60,36,0.744158899,0.091246456,,,,
60,38,0.80541589,0.078042852,,,,
60,40,0.704541589,0.066083244,,,,
65,2,0.675454159,2.662743624,,,,
65,4,0.674545416,1.563005304,,,,
65,6,0.686454542,1.053263468,,,,
65,8,0.682645454,0.752408225,,,,
65,10,0.701264545,0.581404532,,,,
65,12,0.717126455,0.474055101,,,,
65,14,0.732712645,0.404365483,,,,
65,16,0.737271265,0.347842696,,,,
65,18,0.751727126,0.291975456,,,,
65,20,0.784172713,0.251818862,,,,
65,22,0.818417271,0.218558861,,,,
65,24,0.828841727,0.192791426,,,,
65,26,0.885884173,0.168605309,,,,
65,28,0.946588417,0.152019521,,,,
65,30,0.956658842,0.132884604,,,,
65,32,0.963665884,0.112239225,,,,
65,34,0.978366588,0.100464846,,,,
65,36,0.993836659,0.085744839,,,,
65,38,1.053383666,0.074764678,,,,
